city,year,weekofyear
sj,2008,18
sj,2008,19
sj,2008,20
sj,2008,21
sj,2008,22
sj,2008,23
sj,2008,24
sj,2008,25
sj,2008,26
sj,2008,27
sj,2008,28
sj,2008,29
sj,2008,30
sj,2008,31
sj,2008,32
sj,2008,33
sj,2008,34
sj,2008,35
sj,2008,36
sj,2008,37
sj,2008,38
sj,2008,39
sj,2008,40
sj,2008,41
sj,2008,42
sj,2008,43
sj,2008,44
sj,2008,45
sj,2008,46
sj,2008,47
sj,2008,48
sj,2008,49
sj,2008,50
sj,2008,51
sj,2008,52
sj,2009,1
sj,2009,2
sj,2009,3
sj,2009,4
sj,2009,5
sj,2009,6
sj,2009,7
sj,2009,8
sj,2009,9
sj,2009,10
sj,2009,11
sj,2009,12
sj,2009,13
sj,2009,14
sj,2009,15
sj,2009,16
sj,2009,17
sj,2009,18
sj,2009,19
sj,2009,20
sj,2009,21
sj,2009,22
sj,2009,23
sj,2009,24
sj,2009,25
sj,2009,26
sj,2009,27
sj,2009,28
sj,2009,29
sj,2009,30
sj,2009,31
sj,2009,32
sj,2009,33
sj,2009,34
sj,2009,35
sj,2009,36
sj,2009,37
sj,2009,38
sj,2009,39
sj,2009,40
sj,2009,41
sj,2009,42
sj,2009,43
sj,2009,44
sj,2009,45
sj,2009,46
sj,2009,47
sj,2009,48
sj,2009,49
sj,2009,50
sj,2009,51
sj,2009,52
sj,2010,53
sj,2010,1
sj,2010,2
sj,2010,3
sj,2010,4
sj,2010,5
sj,2010,6
sj,2010,7
sj,2010,8
sj,2010,9
sj,2010,10
sj,2010,11
sj,2010,12
sj,2010,13
sj,2010,14
sj,2010,15
sj,2010,16
sj,2010,17
sj,2010,18
sj,2010,19
sj,2010,20
sj,2010,21
sj,2010,22
sj,2010,23
sj,2010,24
sj,2010,25
sj,2010,26
sj,2010,27
sj,2010,28
sj,2010,29
sj,2010,30
sj,2010,31
sj,2010,32
sj,2010,33
sj,2010,34
sj,2010,35
sj,2010,36
sj,2010,37
sj,2010,38
sj,2010,39
sj,2010,40
sj,2010,41
sj,2010,42
sj,2010,43
sj,2010,44
